Parameter1
GenerationTypeBObj
GroupingCategoryTypeBObj
NameUsageTypeBObj
OrganizationNameTypeBObj
RoleCategoryTypeBObj
CountryTypeBObj
ProvinceStateTypeBObj
XCityTypeBObj
PrefixNameTypeBObj
MaritalStatusTypeBObj
GroupingTypeBObj
ContactMethodCategoryTypeBObj
ContactMethodTypeBObj
AddressUsageTypeBObj
AdminSystemTypeBObj
IdentificationTypeBObj
ClientStatusTypeBObj
RoleTypeBObj
ContractRoleTypeBObj
ContractStatusTypeBObj
HighestEducationTypeBObj
OrganizationTypeBObj
XSocietyTypeBObj
RelationshipTypeBObj
XPositionTypeBObj
XCIIUTypeBObj
XCommAuthTypeBObj
XPEPTypeBObj
XHousingTypeBObj
XAuthchannelTypeBObj
XAuthTypeBObj
XEcoSectTypeBObj
XAcctMarkupTypeBObj
XSinisterTypeBObj
XPensionModeTypeBObj
XPensionTypeBObj
XDisabilityStTypeBObj
XDisabilityTypeBObj
XEmployeeClassTypeBObj
XCRSTypeBObj
XJobContractTypeBObj
XRatingCatTypeBObj
XSectorTypeBObj
XSectorCatTypeBObj
XVinculationTypeBObj
XLockCodeOneTypeBObj
XMktgProgTypeBObj
XAcctpkgTypeBObj
XAcctoffcodeTypeBObj
XOccupationTypeBObj
XProfessionTypeBObj
XSubSegTypeBObj
XSegCatTypeBObj
XSegTypeBObj
ProdTypeBObj
XWorkingTypeBObj
